case_type,grid_id,feature,raw_feature_value,model_feature_value,shap_contribution,actual_class,predicted_class,predicted_probability
True positive,R034_C093,log_previous_count,7.251344983372214,4.500371988031796,38.200782582796776,1,1,0.9999999999983977
True positive,R034_C093,previous_hotspot,1.0,3.393630896803759,0.03887987695719184,1,1,0.9999999999983977
True negative,R001_C022,log_previous_count,0.0,-1.1965950774771847,-10.21197014881389,0,0,5.64791947838045e-10
True negative,R001_C022,previous_hotspot,0.0,-0.2946696415752919,-0.0024816942738633083,0,0,5.64791947838045e-10
False positive,R036_C103,log_previous_count,3.970291913552122,1.9226362270365267,16.29521729349758,0,1,0.9948005288631603
False positive,R036_C103,previous_hotspot,1.0,3.393630896803759,0.03887987695719184,0,1,0.9948005288631603
False negative,R067_C065,log_previous_count,2.833213344056216,1.0292986219207219,8.703645833630494,1,0,0.08479219087228605
False negative,R067_C065,previous_hotspot,0.0,-0.2946696415752919,-0.0024816942738633083,1,0,0.08479219087228605
