grid_id,target_year,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,confusion_type,log_previous_count,previous_hotspot,shap_log_previous_count,shap_previous_hotspot
R047_C105,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R042_C107,2024,1,1,0.9971451257742328,True positive,4.060443010546419,1,16.897100499616766,0.03887987695719184
R124_C036,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R010_C030,2024,0,0,0.005039993971908603,True negative,2.3978952727983707,0,5.797295881761715,-0.0024816942738633083
R054_C085,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R095_C055,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R037_C060,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R038_C029,2024,0,0,0.0013249536430650108,True negative,2.19722457733622,0,4.457541562781362,-0.0024816942738633083
R142_C055,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R071_C098,2024,0,0,0.11948288041963083,True negative,2.8903717578961645,0,9.085257267386556,-0.0024816942738633083
R037_C102,2024,0,0,0.058211331684448954,True negative,2.772588722239781,0,8.298892669606905,-0.0024816942738633083
R060_C055,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R114_C054,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R109_C072,2024,1,1,0.9989083078834317,True positive,4.204692619390966,1,17.86016606340338,0.03887987695719184
R069_C072,2024,0,0,0.1629605820634127,True negative,2.9444389791664403,0,9.446230717173501,-0.0024816942738633083
R070_C097,2024,0,0,0.058211331684448954,True negative,2.772588722239781,0,8.298892669606905,-0.0024816942738633083
R065_C108,2024,0,0,0.008974292080567959,True negative,2.4849066497880004,0,6.378217116194133,-0.0024816942738633083
R065_C039,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R042_C040,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R061_C096,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R130_C035,2024,0,0,0.1629605820634127,True negative,2.9444389791664403,0,9.446230717173501,-0.0024816942738633083
