grid_id,target_year,log_previous_count,previous_hotspot,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,correct_prediction,confusion_type,distance_from_0_5
R012_C039,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R012_C040,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R012_C041,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R012_C042,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R012_C043,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R012_C044,2024,3.713572066704308,1,1,1,0.9718054089565341,True,True positive,0.4718054089565341
R012_C045,2024,2.5649493574615367,0,0,0,0.015217410607103852,True,True negative,0.48478258939289615
R012_C060,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R013_C025,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R013_C026,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R013_C027,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R013_C028,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R013_C029,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R013_C030,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R013_C031,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R013_C032,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R013_C033,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R013_C034,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R013_C035,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R013_C036,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R013_C037,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R013_C039,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R013_C040,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R013_C041,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R013_C042,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R013_C043,2024,2.5649493574615367,0,0,0,0.015217410607103852,True,True negative,0.48478258939289615
R013_C044,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R013_C045,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R013_C046,2024,2.639057329615259,0,0,0,0.024717696654622916,True,True negative,0.4752823033453771
R013_C047,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R013_C059,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R013_C060,2024,4.02535169073515,1,1,1,0.9963941502682053,True,True positive,0.4963941502682053
R013_C066,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R013_C067,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R013_C076,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R013_C077,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R013_C078,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R014_C026,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C027,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C028,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R014_C029,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C030,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C031,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R014_C032,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R014_C033,2024,2.70805020110221,0,0,0,0.038620547826229264,True,True negative,0.46137945217377074
R014_C034,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R014_C035,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C036,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C037,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R014_C040,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C041,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C042,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R014_C043,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C044,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R014_C045,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R014_C046,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R014_C047,2024,3.332204510175204,0,0,1,0.7216193143239186,False,False positive,0.22161931432391857
R014_C048,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R014_C059,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R014_C060,2024,3.828641396489095,1,0,1,0.9867219015643443,False,False positive,0.48672190156434425
R014_C061,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R014_C062,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C063,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C064,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C065,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C066,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R014_C067,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R014_C074,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R014_C075,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R014_C076,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R014_C077,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R014_C078,2024,3.1780538303479458,0,0,0,0.4808442013353714,True,True negative,0.019155798664628576
R014_C079,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R015_C028,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R015_C029,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R015_C030,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R015_C031,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R015_C032,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C033,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R015_C034,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R015_C035,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R015_C036,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C037,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R015_C040,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R015_C041,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R015_C042,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R015_C043,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C044,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C045,2024,3.258096538021482,0,0,1,0.612476721689788,False,False positive,0.11247672168978795
R015_C046,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R015_C047,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R015_C048,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R015_C049,2024,2.772588722239781,0,0,0,0.058211331684448954,True,True negative,0.441788668315551
R015_C050,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C051,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C052,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R015_C056,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R015_C057,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R015_C058,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
