grid_id,hotspot_2020,hotspot_2021,hotspot_2022,hotspot_2023,hotspot_2024,hotspot_years,hotspot_proportion,persistence_score,persistence_category,longest_hotspot_run,early_hotspot_years,late_hotspot_years,early_hotspot_rate,late_hotspot_rate,hotspot_change_score,collision_count_2020,collision_count_2021,collision_count_2022,collision_count_2023,collision_count_2024,early_mean_collision_count,late_mean_collision_count,collision_count_change,pattern_category
R017_C081,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,14,18,6,8,9,16.0,8.5,-7.5,Never hotspot
R017_C082,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,4,2,1,3,2,3.0,2.5,-0.5,Never hotspot
R017_C083,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,11,4,9,7,8,7.5,7.5,0.0,Never hotspot
R017_C084,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,17,15,16,12,15,16.0,13.5,-2.5,Never hotspot
R017_C085,1,0,1,1,1,4,0.8,0.8,Persistent hotspot,3,1,2,0.5,1.0,0.5,32,30,36,37,43,31.0,40.0,9.0,Persistent
R017_C086,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.5,0.5,Never hotspot
R017_C096,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,8,28,26,12,18,18.0,15.0,-3.0,Never hotspot
R017_C097,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,11,4,5,4,3,7.5,3.5,-4.0,Never hotspot
R017_C098,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,16,27,17,18,31,21.5,24.5,3.0,Never hotspot
R017_C099,1,1,1,1,1,5,1.0,1.0,Persistent hotspot,5,2,2,1.0,1.0,0.0,53,72,74,61,57,62.5,59.0,-3.5,Persistent
