year,total_cells,occupied_cells,hotspot_cells,hotspot_pct_all_cells,hotspot_pct_occupied_cells,hotspot_count_threshold,minimum_hotspot_count,mean_hotspot_count,maximum_hotspot_count
2020,7606,5947,601,7.901656586905075,10.105935765932403,32,32,98.19800332778702,1182
2021,7606,6068,612,8.04627925322114,10.08569545154911,34,34,109.09967320261438,1495
2022,7606,6093,610,8.019984222981856,10.011488593467915,36,36,114.17213114754098,1497
2023,7606,6135,629,8.269787010255062,10.252648736756315,35,35,109.10810810810811,1409
2024,7606,6137,629,8.269787010255062,10.249307479224377,34,34,104.36883942766296,1344
