model,accuracy,precision,recall,f1_hotspot,macro_f1,roc_auc
Previous-hotspot rule,0.9822508545884828,0.9049180327868852,0.8775834658187599,0.8910411622276029,0.9406898361055713,0.9346352186482363
Previous collision count only,0.9623981067578228,0.6933483652762119,0.9777424483306836,0.8113456464379947,0.8952318185461001,0.9963649584040954
Logistic Regression balanced,0.9623981067578228,0.6933483652762119,0.9777424483306836,0.8113456464379947,0.8952318185461001,0.9963649584040954
