model,accuracy,precision,recall,f1_hotspot,macro_f1,roc_auc
Logistic Regression balanced train,0.9675694627048821,0.719652036378015,0.9832522960561858,0.8310502283105022,0.9065567216790053,0.9968242653031183
Logistic Regression balanced test 2024,0.9643702340257692,0.7020316027088036,0.9888712241653418,0.8211221122112211,0.9006683788770203,0.9971252352437592
