model,accuracy,precision,recall,hotspot_f1,macro_f1,false_positives,false_negatives
Previous-hotspot baseline,0.982908230344465,0.8966613672496025,0.8966613672496025,0.8966613672496025,0.9436725210907608,65,65
Logistic Regression balanced,0.9643702340257692,0.7020316027088036,0.9888712241653418,0.8211221122112211,0.9006683788770203,264,7
