measure,value
Grid size in metres,5000.0
Grid cell area in square kilometres,25.0
Full rectangular grid cells,27965.0
Analysis grid cells,7606.0
Cells with no collisions across all years,20359.0
Analysis grid-year rows,38030.0
Zero-collision grid-year rows,7650.0
Total collision records,503410.0
