grid_id,year,collision_count,fatal_count,serious_count,slight_count,total_severity_score,mean_severity_score,occupied_in_year,zero_collision_year,grid_row,grid_col,cell_size_m,cell_area_km2,centroid_easting,centroid_northing
R003_C014,2024,4,0,0,4,4.0,1.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C015,2020,3,1,0,2,5.0,1.6666666666666667,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2021,1,0,0,1,1.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2022,3,0,0,3,3.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2023,6,0,0,6,6.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2024,2,0,1,1,3.0,1.5,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C016,2020,14,1,3,10,19.0,1.3571428571428572,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2021,11,0,1,10,12.0,1.0909090909090908,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2022,7,0,0,7,7.0,1.0,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2023,8,1,2,5,12.0,1.5,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2024,7,0,1,6,8.0,1.1428571428571428,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C018,2020,1,0,0,1,1.0,1.0,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2021,1,0,0,1,1.0,1.0,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2022,3,0,1,2,4.0,1.3333333333333333,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2023,3,0,1,2,4.0,1.3333333333333333,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2024,3,1,0,2,5.0,1.6666666666666667,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C019,2020,11,0,3,8,14.0,1.2727272727272727,1,0,3,19,5000,25.0,162500.0,27500.0
R003_C019,2021,9,0,1,8,10.0,1.1111111111111112,1,0,3,19,5000,25.0,162500.0,27500.0
R003_C019,2022,13,1,3,9,18.0,1.3846153846153846,1,0,3,19,5000,25.0,162500.0,27500.0
R003_C019,2023,8,0,4,4,12.0,1.5,1,0,3,19,5000,25.0,162500.0,27500.0
R003_C019,2024,10,0,2,8,12.0,1.2,1,0,3,19,5000,25.0,162500.0,27500.0
R003_C020,2020,9,0,1,8,10.0,1.1111111111111112,1,0,3,20,5000,25.0,167500.0,27500.0
R003_C020,2021,14,1,5,8,21.0,1.5,1,0,3,20,5000,25.0,167500.0,27500.0
R003_C020,2022,13,1,1,11,16.0,1.2307692307692308,1,0,3,20,5000,25.0,167500.0,27500.0
R003_C020,2023,11,0,5,6,16.0,1.4545454545454546,1,0,3,20,5000,25.0,167500.0,27500.0
R003_C020,2024,15,1,3,11,20.0,1.3333333333333333,1,0,3,20,5000,25.0,167500.0,27500.0
R003_C021,2020,2,0,1,1,3.0,1.5,1,0,3,21,5000,25.0,172500.0,27500.0
R003_C021,2021,0,0,0,0,0.0,,0,1,3,21,5000,25.0,172500.0,27500.0
R003_C021,2022,3,0,0,3,3.0,1.0,1,0,3,21,5000,25.0,172500.0,27500.0
R003_C021,2023,0,0,0,0,0.0,,0,1,3,21,5000,25.0,172500.0,27500.0
R003_C021,2024,1,0,0,1,1.0,1.0,1,0,3,21,5000,25.0,172500.0,27500.0
R003_C022,2020,2,0,1,1,3.0,1.5,1,0,3,22,5000,25.0,177500.0,27500.0
R003_C022,2021,0,0,0,0,0.0,,0,1,3,22,5000,25.0,177500.0,27500.0
R003_C022,2022,1,0,0,1,1.0,1.0,1,0,3,22,5000,25.0,177500.0,27500.0
R003_C022,2023,2,0,1,1,3.0,1.5,1,0,3,22,5000,25.0,177500.0,27500.0
R003_C022,2024,2,0,2,0,4.0,2.0,1,0,3,22,5000,25.0,177500.0,27500.0
R004_C014,2020,3,0,2,1,5.0,1.6666666666666667,1,0,4,14,5000,25.0,137500.0,32500.0
R004_C014,2021,3,0,0,3,3.0,1.0,1,0,4,14,5000,25.0,137500.0,32500.0
R004_C014,2022,6,0,3,3,9.0,1.5,1,0,4,14,5000,25.0,137500.0,32500.0
R004_C014,2023,2,0,1,1,3.0,1.5,1,0,4,14,5000,25.0,137500.0,32500.0
R004_C014,2024,12,0,4,8,16.0,1.3333333333333333,1,0,4,14,5000,25.0,137500.0,32500.0
R004_C015,2020,5,0,0,5,5.0,1.0,1,0,4,15,5000,25.0,142500.0,32500.0
R004_C015,2021,5,0,1,4,6.0,1.2,1,0,4,15,5000,25.0,142500.0,32500.0
R004_C015,2022,5,0,1,4,6.0,1.2,1,0,4,15,5000,25.0,142500.0,32500.0
R004_C015,2023,3,0,1,2,4.0,1.3333333333333333,1,0,4,15,5000,25.0,142500.0,32500.0
R004_C015,2024,2,0,0,2,2.0,1.0,1,0,4,15,5000,25.0,142500.0,32500.0
R004_C016,2020,27,0,7,20,34.0,1.2592592592592593,1,0,4,16,5000,25.0,147500.0,32500.0
R004_C016,2021,24,0,6,18,30.0,1.25,1,0,4,16,5000,25.0,147500.0,32500.0
R004_C016,2022,26,0,5,21,31.0,1.1923076923076923,1,0,4,16,5000,25.0,147500.0,32500.0
R004_C016,2023,20,0,4,16,24.0,1.2,1,0,4,16,5000,25.0,147500.0,32500.0
R004_C016,2024,22,0,1,21,23.0,1.0454545454545454,1,0,4,16,5000,25.0,147500.0,32500.0
R004_C017,2020,6,0,0,6,6.0,1.0,1,0,4,17,5000,25.0,152500.0,32500.0
R004_C017,2021,8,0,2,6,10.0,1.25,1,0,4,17,5000,25.0,152500.0,32500.0
R004_C017,2022,10,0,2,8,12.0,1.2,1,0,4,17,5000,25.0,152500.0,32500.0
