term,coefficient,standard_error,p_value,odds_ratio,ci_lower,ci_upper,significant_5_percent,interpretation
Intercept,-24.725214918806728,0.7404146727840525,1.6900863097155704e-244,1.827997497644865e-11,4.28285612020062e-12,7.80221132256799e-11,True,Statistically significant at 5%
C(year)[T.2022],-0.6441403647192055,0.16927208468303254,0.00014160098015393664,0.5251137544495375,0.37685018631720896,0.7317084218713498,True,Statistically significant at 5%
C(year)[T.2023],-0.7122242941386068,0.15090766564703137,2.36305196934531e-06,0.4905518514540466,0.3649489187593811,0.6593830166233566,True,Statistically significant at 5%
C(year)[T.2024],-0.6623501377918601,0.14067853003660633,2.4984864435333478e-06,0.5156380888433726,0.39138052205603746,0.6793456078736004,True,Statistically significant at 5%
log_previous_count,7.101122873634965,0.21529873171553576,1.4404231573713963e-238,1213.328724704463,795.6386405058156,1850.2954975352254,True,Statistically significant at 5%
