term,coefficient,standard_error,p_value,IRR,ci_lower,ci_upper
Intercept,-0.2622911540457535,0.009048356254228463,9.39934798371772e-185,0.769287010072592,0.755764388785074,0.7830515867753151
C(year)[T.2022],-0.02182338105284861,0.010594952993385177,0.03941859546737208,0.9784130260702206,0.9583050697027656,0.9989429043517494
C(year)[T.2023],-0.07687348229523608,0.00899059792697894,1.2263030714222531e-17,0.9260070024761846,0.9098325290381464,0.9424690162940711
C(year)[T.2024],-0.07904749772799145,0.009031268195287353,2.0840676126008924e-18,0.9239960356904185,0.9077843231867362,0.9404972658863424
log_previous_count,1.0709951606422032,0.0020826239904556403,0.0,2.918282215006779,2.906394450823671,2.9302186026440205
