year,grid_cells,total_collisions,mean_collisions,median_collisions,variance_collisions,zero_count_cells,hotspot_cells,hotspot_percent
2020,7606,91185,11.98856166184591,3.0,2007.7512169447225,1659,601,7.901656586905075
2021,7606,101070,13.28819353142256,3.0,2594.966506216845,1538,612,8.04627925322114
2022,7606,105982,13.933999474099394,3.0,2685.596432312443,1513,610,8.019984222981856
2023,7606,104246,13.705758611622404,3.0,2576.2305703843267,1471,629,8.269787010255062
2024,7606,100927,13.269392584801473,3.0,2183.6598309787987,1469,629,8.269787010255062
