term,coefficient,standard_error,p_value,IRR,ci_lower,ci_upper
Intercept,-0.1396421745919689,0.01130741696854301,4.894894625970837e-35,0.869669369526641,0.8506076482503139,0.8891582550998842
C(year)[T.2022],-0.05376302372447853,0.008661875423829991,5.405467814316284e-10,0.9476566520386382,0.9317041152646327,0.9638823264164781
C(year)[T.2023],-0.11577210433417258,0.00804417669884847,5.805869406370504e-47,0.8906781818671996,0.8767456066278552,0.9048321630096161
C(year)[T.2024],-0.13145134044024176,0.008182248523794657,4.4576288825751165e-58,0.8768219398693452,0.8628725745472621,0.8909968133355376
log_previous_count,1.0409897385106208,0.0025616689092565334,0.0,2.8320185855683313,2.817835282095094,2.8462732793384715
